tconst,primary_title,original_title,start_year,runtime_minutes,averageRating,numVotes
tt0075975,A Simple Story,Une histoire simple,1978,107,6.9,1018
tt0076033,First Love,First Love,1977,92,6,464
tt0076085,A Special Day,Una giornata particolare,1977,106,8.1,10533
tt0076208,Iphigenia,Ifigeneia,1977,127,7.7,1442
tt0076348,Madame Rosa,La vie devant soi,1977,105,7.2,985
tt0076398,Operation Thunderbolt,Mivtsa Yonatan,1977,124,6.7,782
tt0076517,Padre Padrone,Padre padrone,1977,113,7.4,3444
tt0076843,The Turning Point,The Turning Point,1977,119,6.9,4045
tt0077222,White Bim Black Ear,Belyy Bim Chernoe ukho,1977,182,8.2,1763
tt0078012,Viva Italia!,I nuovi mostri,1977,115,7.1,1357
tt0078122,Get Out Your Handkerchiefs,Préparez vos mouchoirs,1978,108,6.9,3276
tt0078754,All That Jazz,All That Jazz,1979,123,7.9,25768
tt0078788,Apocalypse Now,Apocalypse Now,1979,147,8.4,572597
tt0078868,Confidence,Bizalom,1980,105,7.6,540
tt0078875,The Tin Drum,Die Blechtrommel,1979,142,7.5,21168
tt0079054,To Forget Venice,Dimenticare Venezia,1979,110,6.9,268
tt0079517,Mama Turns 100,Mamá cumple 100 años,1979,98,7.3,1011
tt0079579,Moscow Does Not Believe in Tears,Moskva slezam ne verit,1980,150,8.1,10683
tt0079696,The Maids of Wilko,Panny z Wilka,1979,118,7.5,1066
tt0080101,Life Is Beautiful,La vita è bella,1979,101,6.4,127
tt0080610,The Last Metro,Le dernier métro,1980,131,7.4,11606
tt0080979,Kagemusha,Kagemusha,1980,180,8,29930
tt0081787,Yesterday,Yesterday,1981,95,5.5,119
tt0082096,Das Boot,Das Boot,1981,149,8.3,219409
tt0082222,Man of Iron,Czlowiek z zelaza,1981,156,7.4,2861
tt0082269,Diva,Diva,1981,117,7.2,11264
tt0082280,Muddy River,Doro no kawa,1981,105,7.9,679
tt0082736,Mephisto,Mephisto,1981,144,7.8,8894
